note_id,unit_id,campaign_id
6767e30a000000000800d940,589538006,186061555
6767e32d000000000b00d6fd,589538006,186061555
676d2964000000001300b4c8,589538006,186061555
676d29d10000000013001dcb,589538006,186061555
676d2a41000000001300bc31,589538006,186061555
676d2ace0000000014024f1c,589538006,186061555
676e6cf7000000001300de4a,589538006,186061555
676e6d40000000000902cb3c,589538006,186061555
676e6d83000000001300e2fb,589538006,186061555
676e6dc50000000009014b36,589538006,186061555
676e6dff000000001300e752,589538006,186061555
677105cb000000000800dba3,589538006,186061555
677105fe000000000900fbd5,589538006,186061555
676e6e49000000001300e9d1,589538006,186061555
6771066a000000000b0153df,589538006,186061555
6771073c000000000b0200bc,589538006,186061555
677272a5000000000b0232a9,589538006,186061555
6772730a000000000800ea07,589538006,186061555
6777b8830000000009017689,589538006,186061555
6777b8ab000000001300d9d8,589538006,186061555
6777b99b000000000902c554,589538006,186061555
63f0a37d00000000130087a5,589641338,186061996
63f82edc000000001300813d,589641338,186061996
63f9d335000000000800ca3d,589641338,186061996
63f8878a0000000012030c53,589641338,186061996
640aee48000000001303ed80,589641338,186061996
640dc1050000000014025280,589641338,186061996
640de7920000000013009df9,589641338,186061996
640eeaa000000000130335f7,589641338,186061996
640e9b7d000000001300e321,589641338,186061996
640e70960000000027000457,589641338,186061996
640f1c4f000000001303e9cc,589641338,186061996
640fe2940000000011012ded,589641338,186061996
64103807000000001300e751,589641338,186061996
6410544d0000000012033f3f,589641338,186061996
64111920000000000703a06c,589641338,186061996
64118cfe000000000800d128,589641338,186061996
641256c200000000270132fe,589641338,186061996
6412e9f30000000027011f1b,589641338,186061996
6413b69d0000000012033226,589641338,186061996
6413e5d6000000001303588b,589641338,186061996
64143a940000000027001f75,589641338,186061996
641507a20000000014024e97,589641338,186061996
64196d000000000013037785,589641338,186061996
642a302200000000130115ff,589641338,186061996
642e21cc0000000014027514,589641338,186061996
642e231d0000000011013cdc,589641338,186061996
642f86e70000000027002ba3,589641338,186061996
6430bb920000000013007c52,589641338,186061996
6433665a000000001300a84c,589641338,186061996
643363910000000013036c3a,589641338,186061996
6434cd9e0000000013000f35,589641338,186061996
6435209d000000001303c9a0,589641338,186061996
64360a79000000001402567f,589641338,186061996
6436043e00000000120339f5,589641338,186061996
643608590000000013014d16,589641338,186061996
6437553b0000000013035dc5,589641338,186061996
643a6ba40000000027003f36,589641338,186061996
643df04d0000000013008ce2,589641338,186061996
643d0bdd0000000013009678,589641338,186061996
643a6a48000000001203da38,589641338,186061996
643e78740000000027012667,589641338,186061996
643fc5080000000013012d9f,589641338,186061996
643f5fd60000000013030448,589641338,186061996
6440a1c50000000011010522,589641338,186061996
6441e7670000000014024192,589641338,186061996
6440e7b0000000000800d662,589641338,186061996
6441fe5800000000130365fe,589641338,186061996
64420971000000000703b16e,589641338,186061996
64434cc90000000013009281,589641338,186061996
64435ab90000000013011bad,589641338,186061996
6443a4b900000000270127b2,589641338,186061996
6443908600000000270296f7,589641338,186061996
6443b1660000000013012f0e,589641338,186061996
6445f10e000000001101210f,589641338,186061996
6445df410000000013002058,589641338,186061996
64474a0e00000000270005fd,589641338,186061996
6449e92c0000000013002f22,589641338,186061996
6447af1f000000001303417d,589641338,186061996
644a1ab10000000013008603,589641338,186061996
644b70720000000027003b25,589641338,186061996
644b3ce5000000001303e843,589641338,186061996
644c96e200000000140259cf,589641338,186061996
644dde0a0000000013004943,589641338,186061996
644cb1fb000000001300d56a,589641338,186061996
644f13f2000000001203ddf2,589641338,186061996
644f6f86000000001301588e,589641338,186061996
